id,service_area_code,service_area_name,state,city,pincode,active_status,effective_from,effective_to,created_at,updated_at
62,ENDLKAL,kalkaji,Delhi,Delhi,110062,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
63,ENDLPRE,Preetampura,Delhi,Delhi,110063,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
64,ENDLUTT,Uttam Nagar,Delhi,West Delhi,110064,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
65,ENDLKAL,kalkaji,Delhi,South Delhi,110065,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
66,ENDLMAH,Mahipalpur,Delhi,Delhi,110066,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
67,ENDLMAH,Mahipalpur,Delhi,Delhi,110067,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
68,ENDLKAL,kalkaji,Delhi,Delhi,110068,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
69,ENDLMAH,Mahipalpur,Delhi,Delhi,110070,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
70,ENDLUTT,Uttam Nagar,Delhi,South West Delhi,110071,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
71,ENDLUTT,Uttam Nagar,Delhi,South West Delhi,110073,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
72,ENDLKAL,kalkaji,Delhi,Delhi,110074,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
73,ENDLUTT,Uttam Nagar,Delhi,Delhi,110075,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
74,ENDLKAL,kalkaji,Delhi,Delhi,110076,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
75,ENDLUTT,Uttam Nagar,Delhi,Delhi,110077,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
76,ENDLUTT,Uttam Nagar,Delhi,Delhi,110078,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
77,ENDLKAL,kalkaji,Delhi,Delhi,110080,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
78,ENDLPRE,Preetampura,Delhi,Delhi,110081,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
79,ENDLBUR,Burari,Delhi,Delhi,110082,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
80,ENDLPRE,Preetampura,Delhi,North Delhi,110083,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
81,ENDLBUR,Burari,Delhi,Delhi,110084,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
82,ENDLPRE,Preetampura,Delhi,Delhi,110085,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
